,municipio,sub_category,keyword,latitude,longitude,name
33,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.067607499999999,-75.5124089,restaurante
34,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.1114457,-75.5377292,restaurante
35,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0653406,-75.50172409999999,restaurante
36,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.069075,-75.487405,restaurante
37,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0623597,-75.49512299999999,restaurante
38,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0600941,-75.49099149999999,restaurante
39,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.048824499999999,-75.5063617,restaurante
40,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0572208,-75.4854928,restaurante
41,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0664064,-75.5212561,restaurante
42,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0768494,-75.5282989,restaurante
43,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0693177,-75.5176788,restaurante
44,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0658235,-75.51652969999999,restaurante
45,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0433717,-75.49967509999999,restaurante
46,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.061186000000001,-75.50297139999999,restaurante
47,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0751208,-75.5279754,restaurante
48,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0686179,-75.5164327,restaurante
49,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0667287,-75.49971579999999,restaurante
50,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0665995,-75.4975521,restaurante
51,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0733084,-75.49355299999999,restaurante
52,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.064869799999999,-75.502254,restaurante
53,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0548696,-75.4929208,restaurante
54,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0871661,-75.4888854,restaurante
55,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0505157,-75.4905528,restaurante
56,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0668203,-75.5222525,restaurante
57,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0689027,-75.4914368,restaurante
58,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.052385900000001,-75.4878452,restaurante
59,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0739516,-75.52669499999999,restaurante
60,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0656189,-75.4884845,restaurante
61,CHINCHINÁ,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",5.0658287,-75.4902695,restaurante
62,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",4.8144523,-75.7038415,operador turístico
63,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0688753,-75.5233535,operador turístico
64,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",4.812488099999999,-75.7004465,operador turístico
65,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0905471,-75.5455851,operador turístico
66,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.052541,-75.5251713,operador turístico
67,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0479596,-75.5130258,operador turístico
68,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.093109699999999,-75.5320351,operador turístico
69,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.068562200000001,-75.5155718,operador turístico
70,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0466963,-75.519635,operador turístico
71,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0657142,-75.49701689999999,operador turístico
72,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0594301,-75.4851561,operador turístico
73,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0685756,-75.50418760000001,operador turístico
74,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0458824,-75.51337219999999,operador turístico
75,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",4.8133228,-75.6951095,operador turístico
76,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",4.8155405,-75.691367,operador turístico
77,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.0671313,-75.5191001,operador turístico
78,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.066386,-75.5176291,operador turístico
79,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",4.815966,-75.6917703,operador turístico
80,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.066786,-75.51748169999999,operador turístico
81,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",4.977747,-75.6201736,operador turístico
82,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",4.984351999999999,-75.604991,operador turístico
83,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",4.833940999999999,-75.65840299999999,operador turístico
84,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",4.812545,-75.6951862,operador turístico
85,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",4.8087174,-75.690601,operador turístico
86,CHINCHINÁ,Agencias de viaje y guías,"""operador turístico"", ""agencia de viajes"", ""guía turístico"", ""tour operador"", ""excursiones""",5.067521999999999,-75.5181618,operador turístico
